exchange,instrument_symbol,instrument_token,cost,ltp,stoploss_original,target_original,revised_stoploss,revised_target,sl_gap_percent,tgt_gap_percent,protect_after,protected,quantity,investment_amount,current_value,profit,profit_percent,distance,status,buy_sr_trigger,buy_bo_trigger,fetch_status,time,count,row_colour,sl_buy_tolerance_percent,rev_buy_percent,fund_allotted
NSE,BHARTIARTL,2714625,1242.18,1616.45,1322.0,1525.0,1706.45,1955.3,4.0,10.0,1447.0,No,38.0,47202.84,61425.1,14222.26,30.13,14.94,Archive,1375.0,1000000.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,BIOCON,2911489,260.0,317.8,239.0,320.0,379.73,435.1,4.0,10.0,305.0,No,167.0,43420.0,53072.6,9652.6,22.23,18.19,Archive,260.0,1000.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,TITAN,897537,3406.5,3293.7,3190.0,4300.0,3190.0,4300.0,3.0,10.0,3800.0,No,16.0,54504.0,52699.2,-1804.8,-3.31,-3.15,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#E7A8B2,2.0,3.0,55000.0
NSE,KPITTECH,2478849,1789.85,1424.25,1528.0,2200.0,1528.0,2200.0,3.0,10.0,2050.0,No,32.0,57275.2,45576.0,-11699.2,-20.43,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,GRAPHITE,151553,515.49,530.85,482.0,695.0,482.0,695.0,3.0,10.0,600.0,No,107.0,55157.43,56800.95,1643.52,2.98,-9.2,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#B7D793,2.0,3.0,55000.0
NSE,SHREECEM,794369,3160.0,25241.05,20980.0,30500.0,27740.98,31458.84,3.0,10.0,28300.0,No,2.0,6320.0,50482.1,44162.1,698.77,14.26,Archive,21642.0,1000000.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,POWERGRID,3834113,274.11,322.05,255.0,375.0,354.92,402.49,3.0,10.0,334.0,No,205.0,56192.55,66020.25,9827.7,17.49,18.34,Archive,263.0,1000000.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,TITAN,897537,3160.0,3293.7,2855.0,4500.0,3610.0,6000.0,3.0,10.0,4300.0,No,17.0,53720.0,55992.9,2272.9,4.23,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,RITES,962817,373.49,302.6,267.5,600.0,267.5,600.0,3.0,10.0,500.0,No,147.0,54903.03,44482.2,-10420.83,-18.98,-11.6,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#E7A8B2,2.0,3.0,55000.0
NSE,SRF,837889,3160.0,2252.3,1957.0,2840.0,2577.19,2922.59,3.0,10.0,2600.0,No,26.0,82160.0,58559.8,-23600.2,-28.72,7.43,Archive,2085.0,1000000.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,VAIBHAVGBL,2909185,294.31,292.55,258.0,880.0,258.0,880.0,3.0,10.0,500.0,No,186.0,54741.66,54414.3,-327.36,-0.6,-11.81,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#E7A8B2,2.0,3.0,55000.0
NSE,PETRONET,2905857,1405.45,335.9,249.0,360.0,372.58,422.51,3.0,10.0,315.0,No,207.0,290928.15,69531.3,-221396.85,-76.1,20.81,Archive,198.0,266.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,THANGAMAYL,4638209,1756.96,2292.25,1633.0,2700.0,2544.16,2885.14,3.0,10.0,2224.0,No,34.0,59736.64,77936.5,18199.86,30.47,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,PVRINOX,3365633,1528.98,1575.75,1185.0,2200.0,1390.0,2200.0,3.0,10.0,1815.0,No,38.0,58101.24,59878.5,1777.26,3.06,-11.79,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#B7D793,2.0,3.0,55000.0
NSE,LAURUSLABS,4923905,452.25,499.8,408.0,535.0,408.0,535.0,3.0,10.0,500.0,No,122.0,55174.5,60975.6,5801.1,10.51,7.04,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#B7D793,2.0,3.0,55000.0
